Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12497525,tron0bd,"2024-09-28 10:46:45",1.00000,8,tronnt
2,12482733,"Prathamjyot Singh","2024-09-18 16:34:46",1.00000,30,prathamjyotsingh
3,12518774,"Jayden Lee #2","2024-08-21 02:44:19",1.00000,2,yul0408
4,12520007,"UpTo Web","2024-08-21 09:34:06",1.00000,2,uptoweb
5,12172048,"Khalil Alaei","2024-10-12 09:53:12",1.00000,4,khalilalaei
6,10439706,A.Ishibashi,"2024-08-23 12:26:25",1.00000,1,akihiroishibashi
7,12496914,"Atha Yogantara","2024-08-23 16:28:16",1.00000,1,athayogantara
8,9882507,MLCV,"2024-08-23 19:19:52",1.00000,1,computervisi
9,12528150,"Mohamed Shaban7","2024-08-23 23:02:27",1.00000,1,mohamedshaban7
10,12521327,"iam@Tanmay Shukla","2024-08-24 00:07:53",1.00000,4,iamtanmayshukla
11,12526917,"Harry HAO","2024-08-24 02:43:16",1.00000,4,harryhao
12,12529660,"Muhammad Ehsan #2","2024-08-24 12:22:59",1.00000,1,muhammadehsan02
13,12530976,"Johan Erazo","2024-08-25 00:15:59",1.00000,1,johanerazo
14,12532694,rolmuteyda,"2024-08-25 14:55:53",1.00000,1,rolmuteyda
15,12532740,daligev802,"2024-08-25 15:11:17",1.00000,1,daligev802
16,12452959,"Ziad Nasser Shaaban","2024-08-26 22:51:12",1.00000,3,ziadnasser1
17,8683495,"💥Tesla, Inc.💥","2024-08-27 08:20:57",1.00000,1,alanjo
18,12538523,"Arun Prabu K.C.P","2024-08-27 09:55:11",1.00000,1,arunprabukcp
19,12538772,"ROHITH D","2024-08-27 10:49:11",1.00000,1,rohithd152003
20,12540281,"Hibran Tapia","2024-09-09 07:20:46",1.00000,9,hibrantapia
21,12543764,"Lei Michelle ","2024-08-28 21:58:26",1.00000,1,leimichelle
22,10793811,yasuhide_konishi,"2024-08-28 23:24:03",1.00000,8,yasuhidekonishi
23,12501782,"Zadil H Kassim","2024-08-29 02:19:11",1.00000,2,zadilhkassim
24,6630994,"Tapendu Karmakar","2024-08-29 15:12:17",1.00000,1,iamtapendu
25,12547426,EsmaelShaban12,"2024-08-29 23:35:34",1.00000,3,esmaelshaban12
26,12549927,trisha500,"2024-08-30 15:23:22",1.00000,1,trisha500
27,12551424,"Ayush Pathania #2","2024-08-31 06:22:44",1.00000,1,ayush12344321
28,12540433,"Esmael Shaban","2024-09-02 13:39:27",1.00000,22,esmaelshaban
29,12275831,"Mohammad Anas Siddiqui ","2024-09-01 11:03:41",1.00000,2,mohammadanassiddiqui
30,12531982,XinchengWang0314,"2024-09-02 03:05:55",1.00000,7,xinchengwang0314
31,12563823,"AI Maestro","2024-09-03 14:38:54",1.00000,1,aimaestro
32,11533690,samihiouas,"2024-09-03 19:40:19",1.00000,1,samihiouas
33,12565623,xxsg_559,"2024-09-13 11:52:14",1.00000,3,xxsg559
34,12565400,zhanghaolo,"2024-09-10 03:50:04",1.00000,22,zhanghaolo
35,6356953,"[Deleted] 033bb7db-659e-4fc5-a953-31f2e5ed8649","2024-09-07 02:25:42",1.00000,1,del=7e0302d0957efe3d
36,12580537,lingxiaohe,"2024-09-07 17:32:53",1.00000,3,lingxiaohe
37,12602817,"Xiaoyu Sun #2","2024-09-12 21:08:33",1.00000,3,macesun
38,12616336,"Jing Dai er","2024-09-16 12:40:46",1.00000,9,jingdaier
39,12617248,"Miles Wang #2","2024-09-16 14:21:37",1.00000,2,xibaiw
40,12618562,"Çağan Aras İncel","2024-09-16 22:25:52",1.00000,2,aanarasncel
41,12617477,Inno4,"2024-09-17 19:15:36",1.00000,8,"bvasupriyapatnaik,gowthamikota,joshikaggleacct,raghunadh11"
42,12593017,chen.Csir,"2024-09-19 09:41:45",1.00000,4,chencsir
43,12638122,"Shravan Kaul Lyric","2024-09-20 21:45:11",1.00000,1,shravankaullyric
44,12638153,"Arwa Abou-Attia","2024-09-20 22:09:19",1.00000,1,arwaabouattia
45,12414715,"Abdullah AL-Adwani","2024-09-20 23:26:22",1.00000,2,abdullahaladwani
46,12639325,"samuel david101","2024-09-21 07:22:59",1.00000,6,samueldavid101
47,12640273,"Yunze Hao","2024-09-21 11:13:14",1.00000,3,yunzehao
48,12641338,Zhiyu_Yang_2024,"2024-09-21 16:39:22",1.00000,3,zhiyuyang2024
49,12641915,"Sylvester R Dzimiri","2024-09-21 20:43:54",1.00000,4,sylvesterrdzimiri
50,11279158,"Steven #16","2024-09-22 13:36:16",1.00000,1,steven551
51,12645624,TrineChenP,"2024-09-22 21:29:02",1.00000,4,trinechenp
52,12645792,yijieyijie,"2024-09-22 23:35:44",1.00000,3,yijieyijie
53,10732089,shreyasdasari7,"2024-09-23 00:45:32",1.00000,2,shreyasdasari7
54,12646162,"Vincenza Priana","2024-09-23 02:09:07",1.00000,3,vincenzapriana
55,12646231,"Shuosen Wang","2024-09-23 02:28:03",1.00000,3,shuosenwang
56,12646355,"chenchen pei","2024-09-23 03:06:01",1.00000,3,chenchenpei
57,12646925,"Jiekun Liang","2024-09-23 06:21:00",1.00000,3,jiekunliang
58,12648403,mINGhuihui,"2024-09-23 11:13:28",1.00000,3,minghuihuii
59,12648685,"Cecilia Suu","2024-09-23 12:26:10",1.00000,3,ceciliasuu
60,5390446,"Xiaoyan Deng #2","2024-09-23 12:38:47",1.00000,3,xiaoyandeng96
61,12650188,"Sen Yang #2","2024-09-23 18:46:36",1.00000,3,syang232
62,12650211,"Kathy Zheng","2024-09-23 18:56:43",1.00000,3,kathy313
63,12650277,"Dávid Klinger","2024-09-23 19:17:17",1.00000,3,dvidklinger
64,12650330,Pratikamore22,"2024-09-23 19:36:57",1.00000,3,pratikamore22
65,12650339,sanketpatil12,"2024-09-23 19:41:06",1.00000,4,sanketpatil12
66,12650467,"Yizhi Zhang","2024-09-23 20:18:16",1.00000,3,harryzyz
67,12650500,"Mounisha Kantheti","2024-09-23 20:35:10",1.00000,3,mounishakantheti
68,12650518,"Teja Annamneedi ","2024-09-23 20:43:23",1.00000,4,tejaannamneedi
69,12650536,"Lakshmipriya Katta","2024-09-23 20:51:24",1.00000,4,lakshmipriyakatta
70,12650565,wudidaidai,"2024-09-23 21:02:12",1.00000,3,wudidaidai
71,12650588,"Sai kumar Gadhe","2024-09-23 21:10:57",1.00000,4,saikumargadhe
72,12650778,"Yixin Mo Elaine","2024-09-23 22:59:55",1.00000,3,yixinmoelaine
73,4946074,TITANICVZ,"2024-09-23 23:39:23",1.00000,3,"vvibhu1,zhangmaojn"
